"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4474970","CUI","Grand Canyon","Irvine, CA","03/21/2024 10:00 PM","68",16,16,19,NA,NA,25,25,25,NA,NA,""
"4474977","FDU","Sacred Heart","Bogota Savings Bank Center (Hackensack, NJ)","03/22/2024 05:00 PM","121",21,25,22,25,15,25,21,25,21,11,""
"4474978","Wentworth","Dominican (NY)","Tansey Gymnasium (Boston, MA)","03/22/2024 06:00 PM","135",25,25,25,NA,NA,15,15,19,NA,NA,""
"4474979","Fort Valley St.","Benedict","Fort Valley, GA","03/22/2024 06:00 PM","67",25,25,25,NA,NA,16,9,13,NA,NA,""
"4474985","King (TN)","Erskine","Bristol, TN","03/22/2024 07:00 PM","146",18,21,20,NA,NA,25,25,25,NA,NA,""
"4475003","Saint Francis","Daemen","Loretto, PA","03/22/2024 07:00 PM","122",25,25,22,26,NA,20,18,25,24,NA,""
"4475002","Barton","North Greenville","Wilson, NC","03/22/2024 07:00 PM","250",25,21,21,25,15,23,25,25,16,11,""
"4475000","George Mason","Tusculum","EagleBank Arena (Fairfax, VA)","03/22/2024 07:00 PM","239",25,25,25,NA,NA,15,18,18,NA,NA,""
"4474983","Lees-McRae","Emmanuel (GA)","Williams Gymnasium (Banner Elk, NC)","03/22/2024 07:00 PM","79",22,13,25,25,13,25,25,23,21,15,""
"4475004","LIU","Merrimack","Brookville, NY","03/22/2024 07:00 PM","103",21,25,25,25,NA,25,19,23,21,NA,""
"4474997","Mount Olive","Belmont Abbey","Kornegay Arena (Mount Olive, NC)","03/22/2024 07:00 PM","98",17,23,25,NA,NA,25,25,27,NA,NA,""
"4474989","Missouri S&T","Thomas More","Rolla, MO","03/22/2024 08:00 PM","84",25,25,25,NA,NA,17,19,21,NA,NA,""
"4474981","Pepperdine","BYU","Firestone Fieldhouse (Malibu, CA)","03/22/2024 09:00 PM","1273",26,19,22,25,12,24,25,25,20,15,""
"4474999","CUI","Grand Canyon","Irvine, CA","03/22/2024 10:00 PM","182",22,22,20,NA,NA,25,25,25,NA,NA,""
"4474996","Hawaii","CSUN","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","03/23/2024 01:00 AM","6858",25,19,27,25,NA,15,25,25,17,NA,""
"4475021","Roberts Wesleyan","St. Thomas Aquinas","Rochester, NY","03/23/2024 12:00 PM","114",16,19,26,18,NA,25,25,24,25,NA,""
"4475005","Charleston (WV)","Georgetown (KY)","Charleston, WV","03/23/2024 01:00 PM","23",22,14,25,25,15,25,25,23,22,11,""
"4475032","Fort Valley St.","Edward Waters","Fort Valley, GA","03/23/2024 01:00 PM","125",25,25,25,NA,NA,12,11,12,NA,NA,""
"4475046","Lees-McRae","Erskine","Williams Gymnasium (Banner Elk, NC)","03/23/2024 02:00 PM","74",16,20,20,NA,NA,25,25,25,NA,NA,""
"4475047","King (TN)","Emmanuel (GA)","Bristol, TN","03/23/2024 02:00 PM","185",25,25,26,NA,NA,22,23,24,NA,NA,""
"4475051","Mount Olive","North Greenville","Kornegay Arena (Mount Olive, NC)","03/23/2024 02:00 PM","99",25,20,25,23,9,15,25,22,25,15,""
"4475054","Barton","Belmont Abbey","Wilson, NC","03/23/2024 02:00 PM","225",14,23,21,NA,NA,25,25,25,NA,NA,""
"4475055","Queens (NC)","Lewis","Charlotte, NC","03/23/2024 02:00 PM","77",23,24,21,NA,NA,25,26,25,NA,NA,""
"4475056","Quincy","Lindenwood","Quincy, IL","03/23/2024 03:00 PM","432",25,25,17,18,13,21,19,25,25,15,""
"4475066","Saint Francis","Daemen","Loretto, PA","03/23/2024 04:00 PM","117",25,16,27,25,NA,20,25,25,20,NA,""
"4475073","LIU","Sacred Heart","Brookville, NY","03/23/2024 05:00 PM","152",25,25,25,NA,NA,23,18,21,NA,NA,""
