"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Pepperdine",3,0,41,3,55,0.691,37,15,12,24,0,0,12,1,62,0,"6083915"
"Jessup",4,0,45,12,81,0.407,41,8,27,22,5,7,4,0,62,0,"6355080"
"Pacific Union",4,0,29,25,82,0.049,28,5,17,17,8,3,8,0,41,0,"6355080"
"Quincy",3,0,31,11,59,0.339,31,6,8,30,3,2,12,0,45,0,"6083918"
"Lees-McRae",3,0,29,19,85,0.118,27,3,17,13,6,2,8,3,38,0,"6083918"
"Emmanuel (GA)",3,0,20,9,67,0.164,19,2,11,11,9,3,2,2,26,0,"6083917"
"Pepperdine",3,0,44,10,65,0.523,39,9,13,29,2,0,4,1,55,0,"6083917"
"Quincy",4,0,45,24,129,0.163,42,11,18,46,3,3,21,3,69.5,0,"6083920"
"Tusculum",4,0,49,22,133,0.203,45,3,15,53,11,4,8,3,60,0,"6083920"
"Catawba",4,0,39,26,107,0.121,36,4,14,30,5,0,8,1,47,1,"6083927"
"North Greenville",4,0,47,14,95,0.347,44,5,13,35,4,4,12,0,62,1,"6083927"
"American Int'l",3,0,23,16,72,0.097,18,0,14,15,10,1,2,1,25,0,"6083922"
"Sacred Heart",3,0,35,8,65,0.415,31,10,11,25,0,3,6,2,51,0,"6083922"
"Merrimack",3,0,29,13,69,0.232,26,3,24,18,7,1,6,1,36,0,"6083926"
"Harvard",3,0,29,10,60,0.317,28,7,18,21,3,1,10,0,42,0,"6083926"
"LIU",4,0,48,13,107,0.327,45,8,18,38,7,4,17,2,68.5,0,"6083928"
"Lees-McRae",4,0,37,27,109,0.092,35,7,12,33,8,0,2,1,45,0,"6083928"
"Southern California",4,0,58,13,114,0.395,49,3,13,37,3,2,30,2,78,0,"6083924"
"CSUN",4,0,54,26,128,0.219,49,3,10,36,3,2,13,3,65.5,0,"6083924"
"BYU",5,0,56,23,141,0.234,54,7,15,40,7,1,9,2,68.5,0,"6083925"
"UC Irvine",5,0,65,19,142,0.324,62,7,19,51,7,2,21,0,84.5,0,"6083925"
"Quincy",3,0,36,13,81,0.284,34,8,7,31,2,1,19,0,54.5,0,"6083930"
"King (TN)",3,0,33,14,86,0.221,30,2,17,27,8,2,6,0,40,0,"6083930"
"Queens (NC)",4,0,44,20,106,0.226,43,5,17,29,6,8,0,0,57,0,"6083929"
"George Mason",4,0,54,22,112,0.286,53,6,13,35,5,9,0,0,69,0,"6083929"
"Benedict",3,0,27,16,79,0.139,23,2,8,24,7,1,4,3,32,1,"6083935"
"Catawba",3,0,40,14,85,0.306,39,7,12,29,2,2,13,3,55.5,0,"6083935"
"LIU",5,0,58,27,148,0.209,52,7,17,44,7,0,17,4,73.5,0,"6083931"
"Purdue Fort Wayne",5,0,66,22,140,0.314,64,7,23,53,7,2,20,2,85,1,"6083931"
"Lees-McRae",3,0,17,25,77,-0.104,17,0,7,23,5,0,2,1,18,0,"6083932"
"Ball St.",3,0,38,8,72,0.417,35,5,10,29,0,3,21,1,56.5,0,"6083932"
"UC San Diego",4,0,36,18,98,0.184,35,11,18,33,16,0,18,0,56,1,"6083934"
"UCLA",4,0,51,17,109,0.312,49,16,25,34,11,2,10,1,74,0,"6083934"
"Kentucky St.",3,0,13,22,75,-0.12,12,2,7,27,9,3,4,1,20,0,"6357276"
"Truett-McConnell",3,0,36,14,82,0.268,34,9,12,34,2,2,4,1,49,0,"6357276"
"Kentucky St.",3,0,17,21,68,-0.059,16,3,9,20,12,1,4,0,23,0,"6357275"
"St. Mary-Woods",3,0,27,14,65,0.2,26,12,4,26,3,2,10,0,46,0,"6357275"
"Barry",4,0,41,20,106,0.198,38,1,22,36,8,2,16,1,52,0,"6083942"
"Emmanuel (GA)",4,0,44,24,113,0.177,40,8,17,38,1,4,8,0,60,3,"6083942"
"Barry",5,0,48,23,120,0.208,44,4,17,32,5,0,10,2,57,2,"6083936"
"Fort Valley St.",5,0,62,19,120,0.358,46,5,22,40,4,1,8,2,72,1,"6083936"
"Edward Waters",4,0,43,25,117,0.154,39,2,15,32,5,0,6,2,48,0,"6083937"
"St. Thomas Aquinas",4,0,53,16,112,0.33,51,5,16,39,2,4,15,3,69.5,0,"6083937"
"Marymount (VA)",3,0,22,21,64,0.016,21,4,19,15,8,1,2,0,28,0,"6354715"
"Barton",3,0,26,7,55,0.345,23,8,14,17,4,1,12,0,41,0,"6354715"
"Fort Valley St.",3,0,37,12,75,0.333,32,5,13,29,3,0,26,1,55,2,"6083943"
"Emmanuel (GA)",3,0,26,23,82,0.037,24,3,10,21,5,0,8,0,33,0,"6083943"
"Queens (NC)",5,0,44,21,113,0.204,43,7,14,30,4,1,7,0,55.5,0,"6083952"
"NJIT",5,0,63,19,122,0.361,57,4,19,41,7,0,14,0,74,2,"6083952"
"King (TN)",3,0,18,18,76,0,17,3,11,22,7,1,11,0,27.5,1,"6083941"
"George Mason",3,0,37,12,75,0.333,32,7,13,31,3,0,15,0,51.5,0,"6083941"
"Roberts Wesleyan",4,0,46,19,143,0.189,41,3,25,38,2,2,10,0,56,5,"6083939"
"FDU",4,0,50,20,132,0.227,49,2,18,53,3,2,10,0,59,6,"6083939"
"Dominican (NY)",3,0,24,15,77,0.117,23,0,15,28,5,6,8,1,34,0,"6083946"
"Daemen",3,0,40,15,88,0.284,34,5,18,31,0,2,2,0,48,0,"6083946"
"Saint Francis",5,0,40,17,106,0.217,38,11,35,26,7,1,14,2,59,0,"6083950"
"Princeton",5,0,47,19,96,0.292,45,7,31,41,11,1,3,3,56.5,0,"6083950"
"Concordia Wisconsin",4,0,52,17,117,0.299,48,8,11,49,2,4,10,1,69,0,"6355698"
"American Int'l",4,0,42,21,119,0.176,37,2,13,43,8,1,12,0,51,0,"6355698"
"Maryville (MO)",3,0,38,14,85,0.282,35,1,9,17,5,1,8,0,44,0,"6083948"
